nom;code
VILLERS ST CHRISTOPHE;2590
VILLE SAVOYE;2220
VORGES;2860
VUILLERY;2880
WIMY;2500
ABREST;3200
ARRONNES;3250
AUTRY ISSARDS;3210
BARBERIER;3140
BOST;3300
BRESSOLLES;3000
BRUGHEAS;3700
CHAMBERAT;3370
CHAVROCHES;3220
CHEMILLY;3210
COULANGES;3470
DEUX CHAISES;3240
DIOU;3290
DOMERAT;3410
DOMPIERRE SUR BESBRE;3290
DURDAT LAREQUILLE;3310
EBREUIL;3450
ESTIVAREILLES;3190
HAUTERIVE;3270
LALIZOLLE;3450
LAMAIDS;3380
LANGY;3150
LODDES;3130
LOUCHY MONTFAND;3500
LOUROUX DE BEAUNE;3600
LOUROUX DE BOUBLE;3330
MARCILLAT EN COMBRAILLE;3420
MEAULNE VITRAY;3360
MEILLARD;3500
MERCY;3340
MESPLES;3370
MOLINET;3510
MONTAIGUET EN FOREZ;3130
MONTAIGU LE BLIN;3150
MONTBEUGNY;3340
MONTOLDRE;3150
NADES;3450
NEUILLY EN DONJON;3130
NIZEROLLES;3250
PARAY SOUS BRIAILLES;3500
PERIGNY;3120
QUINSSAINES;3380
RONNET;3420
ST ANGEL;3170
ST DIDIER EN DONJON;3130
ST DIDIER LA FORET;3110
ST FELIX;3260
ST GERMAIN DES FOSSES;3260
ST GERMAIN DE SALLES;3140
ST LOUP;3150
ST MARCEL EN MURAT;3390
ST NICOLAS DES BIEFS;3250
ST PALAIS;3370
ST POURCAIN SUR BESBRE;3290
ST PRIEST D ANDELOT;3800
ST SORNIN;3240
ST VOIR;3220
SANSSAT;3150
SAULCET;3500
SAULZET;3800
THIEL SUR ACOLIN;3230
TREIGNAT;3380
URCAY;3360
VEAUCE;3450
VERNEUIL EN BOURBONNAIS;3500
LE VEURDRE;3320
VICQ;3450
VIEURE;3430
LE VILHAIN;3350
ALLEMAGNE EN PROVENCE;4500
ALLOS;4260
ARCHAIL;4420
BANON;4150
BARREME;4330
BEAUVEZER;4370
BRAS D ASSE;4270
CASTELLANE;4120
CASTELLANE;4120
VAL DE CHALVAGNE;4320
VAL DE CHALVAGNE;4320
CERESTE;4280
CHATEAUFORT;4250
LA CONDAMINE CHATELARD;4530
CURBANS;5110
ENTRAGES;4270
ENTREPIERRES;4200
L ESCALE;4160
ESTOUBLON;4270
ESTOUBLON;4270
LAMBRUISSE;4170
LE LAUZET UBAYE;4340
LIMANS;4300
MALLEMOISSON;4510
MELVE;4250
MEZEL;4270
MONTAGNAC MONTPEZAT;4500
LA MOTTE DU CAIRE;4250
LA MURE ARGENS;4170
NIOZELLES;4300
LES OMERGUES;4200
ONGLES;4230
ORAISON;4700
REILLANNE;4110
LA ROBINE SUR GALABRE;4000
ST BENOIT;4240
STE CROIX A LAUZE;4110
HAUTES DUYES;4380
ST GENIEZ;4200
ST MARTIN LES SEYNE;4140
ST VINCENT SUR JABRON;4200
VILLE DU PONT;25650
SEYNE;4140
VILLERS GRELOT;25640
SIGONCE;4300
SOLAURE EN DIOIS;26150
SIMIANE LA ROTONDE;4150
ALEYRAC;26770
TARTONNE;4330
ANDANCETTE;26140
THORAME HAUTE;4170
AOUSTE SUR SYE;26400
VAUMEILH;4200
ARPAVON;26110
CEILLAC;5600
AUTICHAMP;26400
CHABOTTES;5260
BARCELONNE;26120
CHANOUSSE;5700
BARRET DE LIOURE;26570
CHATEAU VILLE VIEILLE;5350
BARSAC;26150
CHORGES;5230
BATHERNAY;26260
EMBRUN;5200
LA BAUME DE TRANSIT;26790
ESPINASSES;5190
BEAUMONT MONTEUX;26600
EYGLIERS;5600
BEAURIERES;26310
LA FAURIE;5140
BEZAUDUN SUR BINE;26460
LAYE;5500
BOURDEAUX;26460
LAZER;5300
BOUVIERES;26460
MANTEYER;5400
CHABEUIL;26120
MONTBRAND;5140
CHALANCON;26470
MONTGENEVRE;5100
CHARENS;26310
MONTMAUR;5400
CHATEAUNEUF DE BORDETTE;26110
MONTROND;5700
CHATEAUNEUF DE GALAURE;26330
NEFFES;5000
CHATILLON EN DIOIS;26410
ORCIERES;5170
LA CHAUDIERE;26340
LES ORRES;5200
CLANSAYES;26130
OZE;5400
CLIOUSCLAT;26270
VILLARS LES BLAMONT;25310
VALLOUISE PELVOUX;5290
COLONZELLE;26230
LES VILLEDIEU;25240
VALLOUISE PELVOUX;5340
CREST;26400
VILLERS BUZON;25170
VALLOUISE PELVOUX;5340
CURNIER;26110
VILLERS LA COMBE;25510
PUY ST PIERRE;5100
DIE;26150
VILLERS SOUS CHALAMONT;25270
LA ROCHE DE RAME;5310
EROME;26600
VOUJEAUCOURT;25420
LA ROCHE DES ARNAUDS;5400
ESPENEL;26340
ALLAN;26780
ROSANS;5150
EURRE;26400
ARNAYON;26470
ST BONNET EN CHAMPSAUR;5500
EYGLUY ESCOULIN;26400
AULAN;26570
ST CHAFFREY;5330
EYROLES;26110
BARNAVE;26310
ST FIRMIN;5800
VAL MARAVEL;26310
LA BATIE DES FONDS;26310
ST JEAN ST NICOLAS;5260
LES GRANGES GONTARDES;26290
BOUCHET;26790
ST JULIEN EN BEAUCHENE;5140
GRIGNAN;26230
BOULC;26410
ST LEGER LES MELEZES;5260
LAPEYROUSE MORNAY;26210
BOULC;26410
ST SAUVEUR;5200
LARNAGE;26600
BOURG LES VALENCE;26500
LE SAIX;5400
MANAS;26160
CHABRILLAN;26400
SAVOURNON;5700
MARSANNE;26740
LE CHAFFAL;26190
VALSERRES;5130
MONTCLAR SUR GERVANNE;26400
CHAMALOC;26150
ANTIBES;6160
MONTELIMAR;26200
CHAMARET;26230
BAIROLS;6420
MONTGUERS;26170
CHANOS CURSON;26600
LE BAR SUR LOUP;6620
MONTJOYER;26230
LA CHARCE;26470
BEAULIEU SUR MER;6310
VALHERBASSE;26350
CHARPEY;26300
BERRE LES ALPES;6390
VALHERBASSE;26350
CHASTEL ARNAUD;26340
CAGNES SUR MER;6800
ORIOL EN ROYANS;26190
CHATEAUNEUF DU RHONE;26780
CANNES;6400
PARNANS;26750
CHATILLON EN DIOIS;26410
CASTAGNIERS;6670
LE PEGUE;26770
CHAUDEBONNE;26110
DRAP;6340
PIERRELATTE;26700
CHAVANNES;26260
ENTRAUNES;6470
LE POET CELARD;26460
CLAVEYSON;26240
ESCRAGNOLLES;6460
PONET ET ST AUBAN;26150
CLERIEUX;26260
GARS;6850
PORTES EN VALDAINE;26160
COMPS;26220
LEVENS;6670
PORTES LES VALENCE;26800
CROZES HERMITAGE;26600
LUCERAM;6440
PUYGIRON;26160
DIEULEFIT;26220
MANDELIEU LA NAPOULE;6210
RATIERES;26330
ECHEVIS;26190
MARIE;6420
ROCHECHINARD;26190
ETOILE SUR RHONE;26800
MASSOINS;6710
LA ROCHE SUR GRANE;26400
ETOILE SUR RHONE;26800
LES MUJOULS;6910
LA ROCHETTE DU BUIS;26170
EYGALAYES;26560
PEILLON;6440
ROYNAC;26450
EYGALIERS;26170
PEONE;6470
SAHUNE;26510
EYMEUX;26730
PIERLAS;6260
ST LAURENT EN ROYANS;26190
EYMEUX;26730
PUGET THENIERS;6260
ST MARCEL LES VALENCE;26320
FELINES SUR RIMANDOULE;26160
LA ROQUE EN PROVENCE;6910
ST MICHEL SUR SAVASSE;26750
HOSTUN;26730
ST AUBAN;6850
ST PAUL LES ROMANS;26750
LENS LESTANG;26210
ST DALMAS LE SELVAGE;6660
ST PAUL TROIS CHATEAUX;26130
LIVRON SUR DROME;26250
ST ETIENNE DE TINEE;6660
SAVASSE;26740
LORIOL SUR DROME;26270
ST LAURENT DU VAR;6700
SERVES SUR RHONE;26600
LUC EN DIOIS;26310
ST MARTIN VESUBIE;6450
TERSANNE;26390
MALISSARD;26120
SAUZE;6470
LA TOUCHE;26160
MARGES;26260
SERANON;6750
VACHERES EN QUINT;26150
MONTFERRAND LA FARE;26510
TOURETTE DU CHATEAU;6830
VALAURIE;26230
MONTFROC;26560
LA TRINITE;6340
VERCHENY;26340
MONTJOUX;26220
VALBONNE;6560
VILLEBOIS LES PINS;5700
MONTMAUR EN DIOIS;26150
VALLAURIS;6220
AMFREVILLE SUR ITON;27400
MONTOISON;26800
VILLENEUVE D ENTRAUNES;6470
CHAMBOIS;27240
MONTREAL LES SOURCES;26510
VILLENEUVE LOUBET;6270
LES BAUX DE BRETEUIL;27160
MONTSEGUR SUR LAUZON;26130
ALBON D ARDECHE;7190
BAZINCOURT SUR EPTE;27140
MORAS EN VALLOIRE;26210
ANDANCE;7340
BEAUBRAY;27190
MORNANS;26460
ANNONAY;7100
BEAUFICEL EN LYONS;27480
LA MOTTE CHALANCON;26470
VALLEES D ANTRAIGUES ASPERJOC;7600
MESNIL EN OUCHE;27330
ST JEAN DE GALAURE;26240
ARDOIX;7290
MESNIL EN OUCHE;27410
MOURS ST EUSEBE;26540
LES ASSIONS;7140
MESNIL EN OUCHE;27410
OURCHES;26120
BEAUVENE;7190
MESNIL EN OUCHE;27410
PIERRELONGUE;26170
BERZEME;7580
BEAUMONTEL;27170
LES PILLES;26110
BESSAS;7150
LE BEC HELLOUIN;27800
PUY ST MARTIN;26450
BOGY;7340
BERENGEVILLE LA CAMPAGNE;27110
REAUVILLE;26230
BOULIEU LES ANNONAY;7100
BEZU LA FORET;27480
RECOUBEAU JANSAC;26310
CHANDOLAS;7230
LE BOIS HELLAIN;27260
ROCHEBAUDIN;26160
CHANEAC;7310
BOIS JEROME ST OUEN;27620
ROCHE ST SECRET BECONNE;26770
DEVESSET;7320
LA BOISSIERE;27220
ROMANS SUR ISERE;26100
ETABLES;7300
BONCOURT;27120
ROTTIER;26470
FAUGERES;7230
LA BONNEVILLE SUR ITON;27190
ROUSSIEUX;26510
FREYSSENET;7000
THENOUVILLE;27290
ST AUBAN SUR L OUVEZE;26170
GLUN;7300
THENOUVILLE;27520
ST AVIT;26330
GRAS;7700
BOSQUENTIN;27480
ST BARTHELEMY DE VALS;26240
GRAVIERES;7140
BOSROBERT;27800
STE CROIX;26150
ST JULIEN D INTRES;7320
LES BOTTEREAUX;27250
ST JULIEN EN VERCORS;26420
LABASTIDE SUR BESORGUES;7600
LES BOTTEREAUX;27250
ST MARCEL LES SAUZET;26740
LABATIE D ANDAURE;7570
LE BOULAY MORIN;27930
ST PANTALEON LES VIGNES;26770
LACHAMP RAPHAEL;7530
BOULLEVILLE;27210
ST SAUVEUR GOUVERNET;26110
LACHAPELLE GRAILLOUSE;7470
BOUQUETOT;27310
SAUZET;26740
LAURAC EN VIVARAIS;7110
GRAND BOURGTHEROULDE;27520
SOUSPIERRE;26160
LAVIOLLE;7530
BOURNAINVILLE FAVEROLLES;27230
TAULIGNAN;26770
LENTILLERES;7200
BOURNAINVILLE FAVEROLLES;27230
TEYSSIERES;26220
MALARCE SUR LA THINES;7140
BOURNAINVILLE FAVEROLLES;27230
LES TOURRETTES;26740
MARCOLS LES EAUX;7190
BOURNEVILLE STE CROIX;27500
UPIE;26120
MAZAN L ABBAYE;7510
BOURTH;27580
VALENCE;26000
MONTREAL;7110
BRAY;27170
VASSIEUX EN VERCORS;26420
BELSENTES;7160
BRETEUIL;27160
VERCLAUSE;26510
NOZIERES;7270
BREUX SUR AVRE;27570
VERONNE;26340
OZON;7370
CAUMONT;27310
VOLVENT;26470
PAILHARES;7410
CAUVERVILLE EN ROUMOIS;27350
JAILLANS;26300
PEYRAUD;7340
CHAMBLAC;27270
AIGLEVILLE;27120
PRADES;7380
CHAMBORD;27250
AILLY;27600
PRUNET;7110
LA CHAPELLE DU BOIS DES FAULX;27930
AMFREVILLE LES CHAMPS;27380
RIBES;7260
CHAUVINCOURT PROVEMONT;27150
ANGERVILLE LA CAMPAGNE;27930
ROCHEMAURE;7400
CIERREY;27930
APPEVILLE ANNEBAULT;27290
ROCHER;7110
COLLANDRES QUINCARNON;27190
ASNIERES;27260
LA ROCHETTE;7310
CONCHES EN OUCHE;27190
LE VAL D HAZEY;27940
ROSIERES;7260
CONDE SUR RISLE;27290
AUTHOU;27290
ST ALBAN AURIOLLES;7120
CONNELLES;27430
BACQUEVILLE;27440
ST ALBAN AURIOLLES;7120
COUDRES;27220
BARC;27170
ST ANDEOL DE VALS;7600
LA CROISILLE;27190
BARNEVILLE SUR SEINE;27310
ST ANDRE LACHAMP;7230
CROSVILLE LA VIEILLE;27110
BARQUET;27170
ST APOLLINAIRE DE RIAS;7240
MESNILS SUR ITON;27240
MESNIL EN OUCHE;27330
ST CIRGUES EN MONTAGNE;7510
MESNILS SUR ITON;27240
LE BEC THOMAS;27370
ST DESIRAT;7340
MESNILS SUR ITON;27240
BERNAY;27300
ST DIDIER SOUS AUBENAS;7200
MESNILS SUR ITON;27240
LES MONTS DU ROUMOIS;27520
ST ETIENNE DE FONTBELLON;7200
DAUBEUF PRES VATTEVILLE;27430
BOISNEY;27800
ST ETIENNE DE SERRE;7190
VEXIN SUR EPTE;27510
FLANCOURT CRESCY EN ROUMOIS;27310
STE EULALIE;7510
VEXIN SUR EPTE;27510
FLANCOURT CRESCY EN ROUMOIS;27310
ST GENEST LACHAMP;7190
VEXIN SUR EPTE;27630
BOSROUMOIS;27670
ST JEAN DE MUZOLS;7300
EVREUX;27000
BOULLEVILLE;27210
ST JOSEPH DES BANCS;7530
EVREUX;27000
BOUQUELON;27500
ST MARTIN DE VALAMAS;7310
FAINS;27120
BRETAGNOLLES;27220
ST MAURICE EN CHALENCON;7190
FATOUVILLE GRESTAIN;27210
L ABERGEMENT CLEMENCIAT;1400
BRETEUIL;27160
ST MICHEL DE BOULOGNE;7200
LE FAVRIL;27230
AMBRONAY;1500
BROGLIE;27270
ST PAUL LE JEUNE;7460
FIQUEFLEUR EQUAINVILLE;27210
ANGLEFORT;1350
BROSVILLE;27930
ST PERAY;7130
FLEURY SUR ANDELLE;27380
ARBOYS EN BUGEY;1300
BUEIL;27730
ST PRIVAT;7200
FORT MOVILLE;27210
ARGIS;1230
BUREY;27190
ST ROMAIN DE LERPS;7130
GAMACHES EN VEXIN;27150
ASNIERES SUR SAONE;1570
CAILLY SUR EURE;27490
ST SAUVEUR DE CRUZIERES;7460
LA BARONNIE;27220
BAGE DOMMARTIN;1380
CAMPIGNY;27500
ST SYMPHORIEN DE MAHUN;7290
VAL D ORGER;27440
BELLIGNAT;1100
CHAIGNES;27120
ST THOME;7220
LE BOSC DU THEIL;27370
BELIGNEUX;1360
CHAMBLAC;27270
SAMPZON;7120
HARDENCOURT COCHEREL;27120
BELIGNEUX;1360
CHAMPENARD;27600
SANILHAC;7110
HAUVILLE;27350
BELIGNEUX;1360
CHAMPIGNY LA FUTELAYE;27220
SECHERAS;7610
LA HAYE DE ROUTOT;27350
BELLEYDOUX;1130
LA CHAPELLE HARENG;27230
SOYONS;7130
LA HAYE MALHERBE;27400
VALROMEY SUR SERAN;1260
CHERONVILLIERS;27250
TALENCIEUX;7340
LA HAYE ST SYLVESTRE;27330
BENY;1370
MARBOIS;27160
UCEL;7200
HECOURT;27120
BEON;1350
MARBOIS;27240
USCLADES ET RIEUTORD;7510
HEUBECOURT HARICOURT;27630
BEREZIAT;1340
COLLETOT;27500
VALLON PONT D ARC;7150
LES HOGUES;27910
BIZIAT;1290
COUDRAY;27150
LES VANS;7140
LA HOUSSAYE;27410
LA BOISSE;1120
COURDEMANCHE;27320
VERNOUX EN VIVARAIS;7240
ILLIERS L EVEQUE;27770
BOLOZON;1450
CRESTOT;27110
VESSEAUX;7200
IRREVILLE;27930
BOULIGNEUX;1330
CROISY SUR EURE;27120
VILLENEUVE DE BERG;7170
LETTEGUIVES;27910
BOURG ST CHRISTOPHE;1800
MESNILS SUR ITON;27240
VILLEVOCANCE;7690
LISORS;27440
BRIORD;1470
MESNILS SUR ITON;27240
ANGECOURT;8450
LIVET SUR AUTHOU;27800
CERDON;1450
MESNILS SUR ITON;27240
ANNELLES;8310
LORLEAU;27480
CHALEY;1230
MESNILS SUR ITON;27240
AUGE;8380
MALLEVILLE SUR LE BEC;27800
CHALLES LA MONTAGNE;1450
MESNILS SUR ITON;27240
AURE;8400
MARCILLY LA CAMPAGNE;27320
CHAMPAGNE EN VALROMEY;1260
MESNILS SUR ITON;27240
AUTRECOURT ET POURRON;8210
MARCILLY SUR EURE;27810
CHAMPFROMIER;1410
DAUBEUF LA CAMPAGNE;27110
BALHAM;8190
MARTAGNY;27150
CHANEINS;1990
DROISY;27320
BEAUMONT EN ARGONNE;8210
MENNEVAL;27300
CHANOZ CHATENAY;1400
ECARDENVILLE LA CAMPAGNE;27170
BELLEVILLE ET CHATILLON SUR BAR;8240
MERCEY;27950
CHATEAU GAILLARD;1500
VEXIN SUR EPTE;27510
BELVAL BOIS DES DAMES;8240
MOISVILLE;27320
CHATILLON LA PALUD;1320
VEXIN SUR EPTE;27630
BLANCHEFOSSE ET BAY;8290
TERRES DE BORD;27400
CHAVANNES SUR REYSSOUZE;1190
ETREPAGNY;27150
BLANCHEFOSSE ET BAY;8290
MORAINVILLE JOUVEAUX;27260
CHAZEY BONS;1510
EZY SUR EURE;27530
BOULT AUX BOIS;8240
MOUETTES;27220
COLOMIEU;1300
FAUVILLE;27930
BOURCQ;8400
NOARDS;27560
CORMORANCHE SUR SAONE;1290
FEUGUEROLLES;27110
BOGNY SUR MEUSE;8120
NONANCOURT;27320
CORMOZ;1560
FONTAINE BELLENGER;27600
CARIGNAN;8110
NOTRE DAME D EPINE;27800
CORVEISSIAT;1250
FRESNEY;27220
CHAGNY;8430
LE NOYER EN OUCHE;27410
COURTES;1560
GASNY;27620
CHALLERANGE;8400
LE VAL DORE;27190
CROTTET;1750
GLOS SUR RISLE;27290
CHARNOIS;8600
PITRES;27590
CUZIEU;1300
LA GOULAFRIERE;27390
LE CHATELET SUR RETOURNE;8300
PLASNES;27300
DOMSURE;1270
GRAVIGNY;27930
CHAUMONT PORCIEN;8220
QUITTEBEUF;27110
EVOSGES;1230
GROSSOEUVRE;27220
CHAUMONT PORCIEN;8220
RADEPONT;27380
FARGES;1550
LE BOSC DU THEIL;27370
CHEMERY CHEHERY;8450
RENNEVILLE;27910
FEILLENS;1570
HEBECOURT;27150
BAIRON ET SES ENVIRONS;8390
LA ROQUETTE;27700
FERNEY VOLTAIRE;1210
HECTOMARE;27110
CLAVY WARBY;8460
RUGLES;27250
FRANCHELEINS;1090
HEUBECOURT HARICOURT;27630
CONDE LES AUTRY;8250
ST ANDRE DE L EURE;27220
FRANS;1480
HEUDEBOUVILLE;27600
COUCY;8300
TREIS SANTS EN OUCHE;27300
GORREVOD;1190
HEUDREVILLE SUR EURE;27400
DOM LE MESNIL;8160
ST AUBIN SUR QUILLEBEUF;27680
GRAND CORENT;1250
ILLEVILLE SUR MONTFORT;27290
DONCHERY;8350
ST CYR LA CAMPAGNE;27370
PLATEAU D HAUTEVILLE;1110
JUIGNETTES;27250
DRAIZE;8220
ST DENIS D AUGERONS;27390
PLATEAU D HAUTEVILLE;1110
LA LANDE ST LEGER;27210
ESTREBAY;8260
ST DENIS LE FERMENT;27140
INJOUX GENISSIAT;1200
LAUNAY;27470
FALAISE;8400
ST ETIENNE DU VAUVRAY;27430
INNIMOND;1680
LOUYE;27650
FAUX;8270
ST JULIEN DE LA LIEGUE;27600
JOURNANS;1250
LYONS LA FORET;27480
LA FERTE SUR CHIERS;8370
ST MARCEL;27950
LE POIZAT LALLEYRIAT;1130
LE MANOIR;27460
FLEIGNEUX;8200
LE LESME;27160
LANTENAY;1430
MELICOURT;27390
FLIZE;8160
LE LESME;27160
LEAZ;1200
MENESQUEVILLE;27850
LE FRETY;8290
ST MESLIN DU BOSC;27370
LELEX;1410
MENILLES;27120
FROMELENNES;8600
ST OUEN DU TILLEUL;27670
LENT;1240
MEREY;27640
GERNELLE;8440
ST PIERRE DE CERNIERES;27390
LESCHEROUX;1560
MISEREY;27930
GIVRON;8220
ST PIERRE DU VAL;27210
LEYSSARD;1450
MONTREUIL L ARGILLE;27390
GRANDHAM;8250
ST PIERRE DU VAUVRAY;27430
SURJOUX LHOPITAL;1420
MORAINVILLE JOUVEAUX;27260
GRIVY LOISY;8400
ST SYMPHORIEN;27500
MANZIAT;1570
MORGNY;27150
HANNAPPES;8290
ST VINCENT DU BOULAY;27230
MARLIEUX;1240
NASSANDRES SUR RISLE;27550
HARCY;8150
SASSEY;27930
MARTIGNAT;1100
NEAUFLES AUVERGNY;27250
HAUTEVILLE;8300
SUZAY;27420
MASSIGNIEU DE RIVES;1300
LE NEUBOURG;27110
HERBEUVAL;8370
LE THEIL NOLENT;27230
MESSIMY SUR SAONE;1480
NORMANVILLE;27930
ILLY;8200
THIBERVILLE;27230
MEXIMIEUX;1800
NOYERS;27720
JUNIVILLE;8310
LE THIL;27150
BOHAS MEYRIAT RIGNAT;1250
ORMES;27190
LAMETZ;8130
TILLEUL DAME AGNES;27170
MIJOUX;1170
LE VAL DORE;27190
LANDRICHAMPS;8600
LE TILLEUL LAMBERT;27110
MOGNENEINS;1140
PINTERVILLE;27400
LEFFINCOURT;8310
LA TRINITE DE THOUBERVILLE;27310
MONTAGNIEU;1470
PONT AUDEMER;27500
LUCQUY;8300
TRIQUEVILLE;27500
MONTCET;1310
PONT AUTHOU;27290
MAISONCELLE ET VILLERS;8450
LA VACHERIE;27400
NANTUA;1130
RICHEVILLE;27420
MARGNY;8370
VANDRIMARE;27380
NEUVILLE SUR AIN;1160
ROMILLY LA PUTHENAYE;27170
MARLEMONT;8290
VANNECROCQ;27210
ORDONNAZ;1510
ROSAY SUR LIEURE;27790
